code,city
ABA,абакан
DYR,анадырь
AAQ,анапа
WZA,апатиты
ARH,архангельск
ASF,астрахань
BWO,балаково
BAX,барнаул
EGO,белгород
BCX,белоярский
WZC,березники
BQS,благовещенск
BTK,братск
UUA,бугульма
BKA,быково
CSY,чебоксары
CEK,челябинск
CEE,череповец
HTA,чита
WZD,ейск
SVX,екатеринбург
ESL,элиста
EV,евпатория
GDZ,геленджик
GRV,грозный
WZE,ханты-мансийск
INA,инта
IKT,иркутск
IWA,иваново
IJK,ижевск
KGD,калининград
KZN,казань
KEJ,кемерово
KE,керчь
KHV,хабаровск
WZT,хибины
KVX,киров
KVK,кировск
KGP,когалым
WZH,колхи
KXK,комсомольск-на-амуре
WZI,крайний
KRR,краснодар
KJA,красноярск
KRO,курган
KUR,курск
LPK,липецк
GDX,магадан
MQF,магнитогорск
WZJ,майкоп
MCX,махачкала
MRV,минеральные воды
MJZ,мирный
MOW,москва
MMK,мурманск
NBC,набережные челны
NYM,надым
WZL,нахичевань
NAL,нальчик
NNM,нарьян-мар
IGT,назрань
NFG,нефтeюганск
NER,нерюнгри
NJC,нижневартовск
GOJ,нижний новгород
NOJ,ноябрьск
NSK,норильск
GNO,великий новгород
NOZ,новокузнецк
OVB,новосибирск
NUX,новый уренгой
WZM,нягань
OMS,омск
REN,оренбург
OSW,орск
PEZ,пенза
PEE,пермь
PKC,петропавловск-камчатский
PES,петрозаводск
PWE,певек
PYJ,полярный
PTG,пятигорск
RAT,радужный
ROV,ростов-на-дону
SLY,салехард
KUF,самара
SKX,саранск
RTW,саратов
SIP,симферополь
WZN,слепцовская
WZN,ингушетия
AER,сочи
AER,адлер
WZO,сокол
LED,санкт-петербург
WZP,старый оскол
STW,ставрополь
SWT,стрежевой
SGC,сургут
SUZ,суздаль
SCW,сыктывкар
IKS,тикси
TOF,томск
TVE,тверь
TJM,тюмень
UFA,уфа
UCT,ухта
UUD,улан-удэ
ULY,ульяновск
USK,усинск
UIK,усть-ильимск
OGZ,владикавказ
VVO,владивосток
VLK,волгодонск
VOG,волгоград
VGD,вологда
VKT,воркута
VOZ,воронеж
YKS,якутск
UUS,южно-сахалинск
