text,class
"Привет, я бы хотел стать донором крови. Где это можно сделать в Москве?",giveblood
"Здравствуйте, интересует, какие условия для сдачи крови в вашем центре?",giveblood
"Добрый день, хочу стать донором крови. Какие документы нужно предоставить?",giveblood
"Привет, где в Санкт-Петербурге я могу сдать кровь?",giveblood
"Здравствуйте, как долго длится процедура сдачи крови?",giveblood
"Добрый вечер, я хотел бы стать донором крови. Какие возрастные ограничения?",giveblood
"Привет, есть ли какие-то требования к питанию перед сдачей крови?",giveblood
"Здравствуйте, могу ли я сдать кровь в Москве, если недавно болел?",giveblood
"Добрый день, хочу стать донором крови. Необходима ли предварительная запись?",giveblood
"Привет, какие дни недели вы проводите сбор крови в вашем центре?",giveblood
"Здравствуйте, где я могу сдать кровь в Ярославле?",giveblood
"Добрый вечер, интересует, какие бонусы предусмотрены для доноров крови?",giveblood
"Привет, можно ли сдать кровь в Москве, если недавно прививался?",giveblood
"Здравствуйте, какие медицинские осмотры требуются для сдачи крови?",giveblood
"Добрый день, я готов стать донором крови. Где можно ознакомиться с расписанием приема?",giveblood
"Привет, какие медикаменты следует временно прекратить перед сдачей крови?",giveblood
"Здравствуйте, где в Москве находится ваш медицинский центр для сдачи крови?",giveblood
"Добрый вечер, интересует, как долго хранится моя кровь после сдачи?",giveblood
"Привет, есть ли возможность сдать кровь в выходные дни?",giveblood
"Здравствуйте, какие документы необходимо иметь при себе для сдачи крови?",giveblood
"Добрый день, хочу стать донором крови. Могу ли я принести своего сопровождающего?",giveblood
"Привет, где я могу сдать кровь в Новосибирске?",giveblood
"Здравствуйте, как часто можно сдавать кровь в вашем центре?",giveblood
"Добрый вечер, интересует, можно ли сдать кровь после принятия антибиотиков?",giveblood
"Привет, какие процедуры проводятся перед сдачей крови?",giveblood
"Здравствуйте, я бы хотел стать донором крови. Могу ли я прийти утром до работы?",giveblood
"Добрый день, где в Екатеринбурге я могу сдать кровь в выходные дни?",giveblood
"Привет, нужно ли делать паузу в курении перед сдачей крови?",giveblood
"Здравствуйте, какие ограничения по весу для доноров крови?",giveblood
"Добрый вечер, я хочу стать донором крови. Необходимо ли предоставлять какие-то справки?",giveblood
"Привет, где я могу сдать кровь в Красноярске?",giveblood
"Здравствуйте, можно ли сдать кровь после прививки от гриппа?",giveblood
"Добрый день, хочу стать донором крови. Есть ли возрастные ограничения?",giveblood
"Привет, какие процедуры проводятся после сдачи крови?",giveblood
"Здравствуйте, могут ли мне отказать из-за принятия лекарственных препаратов?",giveblood
"Добрый вечер, интересует, есть ли бесплатные процедуры для доноров крови?",giveblood
"Привет, нужно ли сдавать кровь натощак?",giveblood
"Здравствуйте, я готов стать донором крови. Какие процедуры будут проведены во время сдачи?",giveblood
"Добрый день, какие процедуры проводятся после сдачи крови?",giveblood
"Привет, можно ли сдать кровь после зубного вмешательства?",giveblood
"Привет, как долго происходит процедура сдачи крови?",giveblood
"Здравствуйте, могут ли мне отказать в сдаче крови из-за недостаточного веса?",giveblood
"Добрый день, где я могу узнать о ближайших акциях по сдаче крови?",giveblood
"Привет, какие преимущества донорства крови для здоровья?",giveblood
"Здравствуйте, как часто можно сдавать кровь для донорства?",giveblood
"Добрый вечер, какие критерии здоровья нужно соответствовать для сдачи крови?",giveblood
"Привет, можно ли сдать кровь в случае принятия медикаментов?",giveblood
"Здравствуйте, какие ограничения после сдачи крови нужно соблюдать?",giveblood
"Добрый день, где я могу получить подробную информацию о процессе донорства крови?",giveblood
"Привет, какие анализы необходимо сдать перед сдачей крови?",giveblood
"Здравствуйте, как долго действительны результаты анализов для сдачи крови?",giveblood
"Добрый вечер, какие процедуры проходятся перед сдачей крови?",giveblood
"Привет, есть ли какие-то возрастные ограничения для доноров крови?",giveblood
"Здравствуйте, какие риски связаны с донорством крови?",giveblood
"Добрый день, где я могу пройти медицинский осмотр для сдачи крови?",giveblood
"Привет, могу ли я сдать кровь, если у меня были хирургические вмешательства?",giveblood
"Здравствуйте, какие процедуры проходятся перед сдачей крови?",giveblood
"Добрый вечер, как часто проводят акции по сдаче крови?",giveblood
"Привет, какие бонусы предусмотрены для регулярных доноров крови?",giveblood
"Здравствуйте, где я могу узнать о ближайших мероприятиях по сбору крови?",giveblood
"Добрый день, можно ли сдать кровь, если недавно перенес операцию?",giveblood
"Привет, какие анализы включены в общий медицинский осмотр перед сдачей крови?",giveblood
"Здравствуйте, какие бонусы предусмотрены для новых доноров крови?",giveblood
"Добрый вечер, какие ограничения по питанию перед сдачей крови?",giveblood
"Привет, какова частота проведения медицинских осмотров для доноров крови?",giveblood
"Здравствуйте, могут ли мне отказать в сдаче крови из-за недостаточного гемоглобина?",giveblood
"Добрый день, где я могу пройти медицинский осмотр перед сдачей крови?",giveblood
"Привет, могу ли я сдать кровь, если недавно прививался?",giveblood
"Здравствуйте, какие привилегии предоставляются донорам крови?",giveblood
"Добрый вечер, какие льготы имеют регулярные доноры крови?",giveblood
"Привет, как долго сохраняется моя кровь после сдачи?",giveblood
"Здравствуйте, что делать, если после сдачи крови появились проблемы со здоровьем?",giveblood
"Добрый день, какие медицинские осмотры проходятся перед сдачей крови?",giveblood
"Привет, где я могу узнать о расписании сбора крови в ближайшем медицинском центре?",giveblood
"Здравствуйте, могу ли я сдать кровь, если у меня есть хронические заболевания?",giveblood
"Добрый вечер, какие документы нужно предоставить для сдачи крови?",giveblood
"Привет, где я могу узнать о ближайших мероприятиях по сбору крови в моем городе?",giveblood
"Здравствуйте, можно ли сдать кровь в Москве, если я живу в другом регионе?",giveblood
"Добрый день, какие документы нужно заполнить для сдачи крови?",giveblood
"Привет, какие ограничения по физическим нагрузкам перед сдачей крови?",giveblood
"Здравствуйте, могу ли я стать донором крови, если у меня есть татуировка?",giveblood
"Добрый вечер, какие требования к здоровью для становления донором крови?",giveblood
"Привет, могу ли я стать донором крови, если недавно переболел гриппом?",giveblood
"Здравствуйте, как часто можно сдавать кровь, чтобы стать регулярным донором?",giveblood
"Добрый день, какие льготы имеются у регулярных доноров крови?",giveblood
"Привет, какие плюсы есть у того, кто становится донором крови?",giveblood
"Здравствуйте, какие привилегии предоставляются донорам крови?",giveblood
"Добрый вечер, можно ли стать донором крови, если у меня есть аллергия?",giveblood
"Привет, что делать, если после сдачи крови у меня возникли проблемы со здоровьем?",giveblood
"Здравствуйте, какие медицинские осмотры требуются перед становлением донором крови?",giveblood
"Добрый день, какие анализы необходимо сдать для прохождения медицинского осмотра?",giveblood
"Привет, можно ли стать донором крови, если у меня были проблемы с сердцем?",giveblood
"Здравствуйте, какие требования к возрасту для становления донором крови?",giveblood
"Добрый вечер, я готов стать донором крови. Где я могу это сделать?",giveblood
"Привет, какие меры безопасности принимаются при сдаче крови?",giveblood
"Здравствуйте, есть ли какие-то ограничения после сдачи крови?",giveblood
"Добрый день, какие действия следует предпринять перед сдачей крови?",giveblood
"Привет, можно ли сдать кровь, если у меня были вакцинации?",giveblood
